"Title","Permalink","Thumbnail","Date"
"UTS Vice-Chancellor’s Awards for Research Excellence, for our work","https://www.google.com/url?q=https%3A%2F%2Fwww.uts.edu.au%2Fnews%2Fcampus-community%2Futs-awards-celebrate-research-making-difference&sa=D&sntz=1&usg=AOvVaw36ysMaP0Da-gJ6I7viXCqJ","https://www.uts.edu.au/sites/default/files/styles/wysiwyg_generic_large_x1/public/2022-03/Research%20awards%202021a.png?itok=W6JUoubM","2022-04-04"
"Australia targeted in ‘malicious’ cyberattack by state actor","https://www.scmp.com/news/asia/australasia/article/3089695/australia-under-malicious-cyberattack-state-actor-pm-morrison","https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=1098,format=auto/sites/default/files/styles/1200x800/public/d8/images/methode/2020/06/19/000cf76c-b1c4-11ea-953d-a7ecc5cbd229_image_hires_170325.jpg","2020-06-19"
"Transport for NSW investigating system outage amid 'hacking' fears","https://www.smh.com.au/national/transport-for-nsw-investigating-system-outage-amid-hacking-fears-20200620-p554iy.html","","2020-06-21"
"NSW government was warned over cyber security weaknesses","https://www.smh.com.au/national/nsw/nsw-government-was-warned-over-cyber-security-weaknesses-20200620-p554iu.html","","2020-06-20"
"What is ransomware and how is it dealt with?","https://cosmosmagazine.com/technology/what-is-ransomware-and-how-is-it-dealt-with/#:~:text=Ransomware%20is%20a%20type%20of,grant%20access%20to%20those%20files","","2020-06-03"
"China launched a 6G satellite – so what?","https://ia.acs.org.au/article/2020/china-launched-a-6g-satellite---so-what-.html","","2020-11-04"
"Unleashing innovation in the face of COVID-19","https://www.uts.edu.au/news/tech-design/unleashing-innovation-face-covid-19","","2020-09-14"
"Interview with SBS Radio Australia on Recent Cyberthreats in the country","","","2020-06-01"
"Cyber Attacks on Australian Government(s)","https://tasmaniantimes.com/2020/06/cyber-attacks-australian-governments/","","2020-06-01"
"COVID Data Tracking and Privacy","","","2020-06-01"
